stopword & Stemming,"after_N-Gram(1,2)"
"['layan', 'bagus', 'video', 'putar', 'lapor', 'direspon', 'kakaknyapembelajarannya', 'mudah', 'paham', 'fitur', 'latih', 'paham', 'aplikasi', 'ajar', 'baik']","['layan', 'layan bagus', 'bagus', 'bagus video', 'video', 'video putar', 'putar', 'putar lapor', 'lapor', 'lapor direspon', 'direspon', 'direspon kakaknyapembelajarannya', 'kakaknyapembelajarannya', 'kakaknyapembelajarannya mudah', 'mudah', 'mudah paham', 'paham', 'paham fitur', 'fitur', 'fitur latih', 'latih', 'latih paham', 'paham', 'paham aplikasi', 'aplikasi', 'aplikasi ajar', 'ajar', 'ajar baik', 'baik']"
[],[]
"['tolong', 'video', 'tulisanya', 'gagal', 'muat', 'video', 'coba', '3', 'nyobs', 'nyoba', 'buka', 'video', 'mode', 'online', 'offline', 'tulis', 'kaya', 'ajar', 'susah']","['tolong', 'tolong video', 'video', 'video tulisanya', 'tulisanya', 'tulisanya gagal', 'gagal', 'gagal muat', 'muat', 'muat video', 'video', 'video coba', 'coba', 'coba 3', '3', '3 nyobs', 'nyobs', 'nyobs nyoba', 'nyoba', 'nyoba buka', 'buka', 'buka video', 'video', 'video mode', 'mode', 'mode online', 'online', 'online offline', 'offline', 'offline tulis', 'tulis', 'tulis kaya', 'kaya', 'kaya ajar', 'ajar', 'ajar susah', 'susah']"
"['mantap', 'jiwa']","['mantap', 'mantap jiwa', 'jiwa']"
"['bagus', 'keren', 'ngejelasin', 'detail']","['bagus', 'bagus keren', 'keren', 'keren ngejelasin', 'ngejelasin', 'ngejelasin detail', 'detail']"
"['tolong', 'hasil', 'screenshot', 'mtk', 'wajib', 'minat', 'pisah', 'mudah', 'terimakasih']","['tolong', 'tolong hasil', 'hasil', 'hasil screenshot', 'screenshot', 'screenshot mtk', 'mtk', 'mtk wajib', 'wajib', 'wajib minat', 'minat', 'minat pisah', 'pisah', 'pisah mudah', 'mudah', 'mudah terimakasih', 'terimakasih']"
"['overall', 'bagus', 'eemm', 'nanya', 'tutor', 'koin', 'mahal', '1', '15', 'krg', 'pas', 'tutor']","['overall', 'overall bagus', 'bagus', 'bagus eemm', 'eemm', 'eemm nanya', 'nanya', 'nanya tutor', 'tutor', 'tutor koin', 'koin', 'koin mahal', 'mahal', 'mahal 1', '1', '1 15', '15', '15 krg', 'krg', 'krg pas', 'pas', 'pas tutor', 'tutor']"
"['gara', 'gara', 'ruang', 'guru', 'ajar']","['gara', 'gara gara', 'gara', 'gara ruang', 'ruang', 'ruang guru', 'guru', 'guru ajar', 'ajar']"
"['video', 'putus2', 'jaring', 'lancar', 'langgan']","['video', 'video putus2', 'putus2', 'putus2 jaring', 'jaring', 'jaring lancar', 'lancar', 'lancar langgan', 'langgan']"
['kelas'],['kelas']
"['maaf', 'tolong', 'kondisi', 'konsultan', '1', 'hubung', 'chat', 'telfon', 'risih', 'minat', 'langgan', 'konfirmasi', 'salah', 'konsultanbeli', 'paket', 'marketplace', 'terima', 'kasih']","['maaf', 'maaf tolong', 'tolong', 'tolong kondisi', 'kondisi', 'kondisi konsultan', 'konsultan', 'konsultan 1', '1', '1 hubung', 'hubung', 'hubung chat', 'chat', 'chat telfon', 'telfon', 'telfon risih', 'risih', 'risih minat', 'minat', 'minat langgan', 'langgan', 'langgan konfirmasi', 'konfirmasi', 'konfirmasi salah', 'salah', 'salah konsultanbeli', 'konsultanbeli', 'konsultanbeli paket', 'paket', 'paket marketplace', 'marketplace', 'marketplace terima', 'terima', 'terima kasih', 'kasih']"
['ajar'],['ajar']
"['baguuss', 'suka', 'materi', 'lengkapbelajar', 'bosan']","['baguuss', 'baguuss suka', 'suka', 'suka materi', 'materi', 'materi lengkapbelajar', 'lengkapbelajar', 'lengkapbelajar bosan', 'bosan']"
"['bagus', 'manfaat']","['bagus', 'bagus manfaat', 'manfaat']"
"['hapus', 'karna', 'ajar', 'english', 'tagih']","['hapus', 'hapus karna', 'karna', 'karna ajar', 'ajar', 'ajar english', 'english', 'english tagih', 'tagih']"
['burik'],['burik']
['sok'],['sok']
"['bahas', 'banayak']","['bahas', 'bahas banayak', 'banayak']"
['top'],['top']
['netral'],['netral']
"['ruang', 'guru', 'tampah', 'hp', '54', 'pliss']","['ruang', 'ruang guru', 'guru', 'guru tampah', 'tampah', 'tampah hp', 'hp', 'hp 54', '54', '54 pliss', 'pliss']"
[],[]
"['bagus', 'mudah', 'paham']","['bagus', 'bagus mudah', 'mudah', 'mudah paham', 'paham']"
"['aplikasi', 'bagus', 'fitur', 'fiturnya', 'lengkap', 'sayang', 'materi', 'ajar', 'lengkap', 'error', 'akses']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus fitur', 'fitur', 'fitur fiturnya', 'fiturnya', 'fiturnya lengkap', 'lengkap', 'lengkap sayang', 'sayang', 'sayang materi', 'materi', 'materi ajar', 'ajar', 'ajar lengkap', 'lengkap', 'lengkap error', 'error', 'error akses', 'akses']"
['gbng'],['gbng']
"['instal', 'smkwakwakwak']","['instal', 'instal smkwakwakwak', 'smkwakwakwak']"
"['jelek', 'banget', 'aplikasi', 'bayar', '2', 'komplen', 'berminggu2', 'selesai', 'anggap', 'beli', 'paket', 'ajar', 'bukti', 'serta']","['jelek', 'jelek banget', 'banget', 'banget aplikasi', 'aplikasi', 'aplikasi bayar', 'bayar', 'bayar 2', '2', '2 komplen', 'komplen', 'komplen berminggu2', 'berminggu2', 'berminggu2 selesai', 'selesai', 'selesai anggap', 'anggap', 'anggap beli', 'beli', 'beli paket', 'paket', 'paket ajar', 'ajar', 'ajar bukti', 'bukti', 'bukti serta', 'serta']"
[],[]
"['download', 'video', 'banget', 'jaring', 'bagus']","['download', 'download video', 'video', 'video banget', 'banget', 'banget jaring', 'jaring', 'jaring bagus', 'bagus']"
[],[]
"['aplikasi', 'bagus', 'langgan', 'video', 'dibukaerror', 'sihkalau', 'tolong', 'benah']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus langgan', 'langgan', 'langgan video', 'video', 'video dibukaerror', 'dibukaerror', 'dibukaerror sihkalau', 'sihkalau', 'sihkalau tolong', 'tolong', 'tolong benah', 'benah']"
