stopword & Stemming,"after_N-Gram(1,2)"
['bagus'],['bagus']
[],[]
"['video', 'ruangbelajar', 'load', 'lamaa', 'banget', 'nyoba', 'ruangguru', 'web', 'tetep', 'lag', 'tolong', 'baik', 'tingkat']","['video', 'video ruangbelajar', 'ruangbelajar', 'ruangbelajar load', 'load', 'load lamaa', 'lamaa', 'lamaa banget', 'banget', 'banget nyoba', 'nyoba', 'nyoba ruangguru', 'ruangguru', 'ruangguru web', 'web', 'web tetep', 'tetep', 'tetep lag', 'lag', 'lag tolong', 'tolong', 'tolong baik', 'baik', 'baik tingkat', 'tingkat']"
"['aplikasi', 'bagus', 'bangetcocok', 'ajar', 'online']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus bangetcocok', 'bangetcocok', 'bangetcocok ajar', 'ajar', 'ajar online', 'online']"
['bagusanat'],['bagusanat']
"['bantu', 'ajar', 'prestasi', 'tingginilai', 'bagus']","['bantu', 'bantu ajar', 'ajar', 'ajar prestasi', 'prestasi', 'prestasi tingginilai', 'tingginilai', 'tingginilai bagus', 'bagus']"
"['apk', 'gajelas']","['apk', 'apk gajelas', 'gajelas']"
['banget'],['banget']
"['bioguru', 'pas', 'foto', 'tolong', 'baki', 'rajin', 'ajar', 'ruang', 'guru', 'males', 'buka']","['bioguru', 'bioguru pas', 'pas', 'pas foto', 'foto', 'foto tolong', 'tolong', 'tolong baki', 'baki', 'baki rajin', 'rajin', 'rajin ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru males', 'males', 'males buka', 'buka']"
['bantu'],['bantu']
"['kasih', 'bintang', 'karna', 'mapel', 'pjok', 'tikseni', 'budaya', 'pkwu']","['kasih', 'kasih bintang', 'bintang', 'bintang karna', 'karna', 'karna mapel', 'mapel', 'mapel pjok', 'pjok', 'pjok tikseni', 'tikseni', 'tikseni budaya', 'budaya', 'budaya pkwu', 'pkwu']"
"['bagus', 'banget', 'jadih', 'rengking', 'kls']","['bagus', 'bagus banget', 'banget', 'banget jadih', 'jadih', 'jadih rengking', 'rengking', 'rengking kls', 'kls']"
['apk'],['apk']
['bug'],['bug']
"['ruang', 'guru', 'bantu', 'banget', 'ajar', 'langgan', 'ruang', 'guru', 'nilai', 'benerga', 'etis', 'langgan', 'ruang', 'guru', 'nilai', 'juara', 'kelas']","['ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu banget', 'banget', 'banget ajar', 'ajar', 'ajar langgan', 'langgan', 'langgan ruang', 'ruang', 'ruang guru', 'guru', 'guru nilai', 'nilai', 'nilai benerga', 'benerga', 'benerga etis', 'etis', 'etis langgan', 'langgan', 'langgan ruang', 'ruang', 'ruang guru', 'guru', 'guru nilai', 'nilai', 'nilai juara', 'juara', 'juara kelas', 'kelas']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
"['seru', 'banget', 'ngerti']","['seru', 'seru banget', 'banget', 'banget ngerti', 'ngerti']"
"['video', 'gampang', 'erti', 'daffa', 'lulu', 'semangat', 'ajar', 'nilai', '100', 'keren', 'pokok']","['video', 'video gampang', 'gampang', 'gampang erti', 'erti', 'erti daffa', 'daffa', 'daffa lulu', 'lulu', 'lulu semangat', 'semangat', 'semangat ajar', 'ajar', 'ajar nilai', 'nilai', 'nilai 100', '100', '100 keren', 'keren', 'keren pokok', 'pokok']"
[],[]
"['buffering', 'mulu']","['buffering', 'buffering mulu', 'mulu']"
"['ajar', 'ruangguru', 'senang', 'mudah', 'paham', 'tambah', 'semangat', 'ajar', 'terimakasih', 'ruangguru']","['ajar', 'ajar ruangguru', 'ruangguru', 'ruangguru senang', 'senang', 'senang mudah', 'mudah', 'mudah paham', 'paham', 'paham tambah', 'tambah', 'tambah semangat', 'semangat', 'semangat ajar', 'ajar', 'ajar terimakasih', 'terimakasih', 'terimakasih ruangguru', 'ruangguru']"
"['aplikasi', 'bagus', 'ruang', 'guru', 'anak', 'pintar', 'nilai', '100', 'ringking', '1', 'kelas', 'makasih', 'ruang', 'guru', 'kasih']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus ruang', 'ruang', 'ruang guru', 'guru', 'guru anak', 'anak', 'anak pintar', 'pintar', 'pintar nilai', 'nilai', 'nilai 100', '100', '100 ringking', 'ringking', 'ringking 1', '1', '1 kelas', 'kelas', 'kelas makasih', 'makasih', 'makasih ruang', 'ruang', 'ruang guru', 'guru', 'guru kasih', 'kasih']"
['bagus'],['bagus']
"['cuman', 'situs', 'webtapi', 'enak', 'karna', 'mudah', 'paham']","['cuman', 'cuman situs', 'situs', 'situs webtapi', 'webtapi', 'webtapi enak', 'enak', 'enak karna', 'karna', 'karna mudah', 'mudah', 'mudah paham', 'paham']"
"['bayar', 'gpay', 'tolong']","['bayar', 'bayar gpay', 'gpay', 'gpay tolong', 'tolong']"
"['rekomendasi', 'ruangguru', 'ajar']","['rekomendasi', 'rekomendasi ruangguru', 'ruangguru', 'ruangguru ajar', 'ajar']"
['bagus'],['bagus']
"['request', 'mapel', 'bahasa', 'arab', 'quran', 'hadis', 'siswa', 'madrasah']","['request', 'request mapel', 'mapel', 'mapel bahasa', 'bahasa', 'bahasa arab', 'arab', 'arab quran', 'quran', 'quran hadis', 'hadis', 'hadis siswa', 'siswa', 'siswa madrasah', 'madrasah']"
['mantap'],['mantap']
"['bantu', 'ajar', 'tqu']","['bantu', 'bantu ajar', 'ajar', 'ajar tqu', 'tqu']"
"['makasih', 'ruangguru']","['makasih', 'makasih ruangguru', 'ruangguru']"
"['seru', 'bljr', 'ruang', 'guru']","['seru', 'seru bljr', 'bljr', 'bljr ruang', 'ruang', 'ruang guru', 'guru']"
"['apk', 'bagus', 'manfaat', 'kualitas', 'download', 'batas', 'download', 'udh', 'download', 'nunggu', '1']","['apk', 'apk bagus', 'bagus', 'bagus manfaat', 'manfaat', 'manfaat kualitas', 'kualitas', 'kualitas download', 'download', 'download batas', 'batas', 'batas download', 'download', 'download udh', 'udh', 'udh download', 'download', 'download nunggu', 'nunggu', 'nunggu 1', '1']"
"['alam', 'ruang', 'guru', 'balas', 'roboguru', 'notifikasi', 'ruangguru', 'butuh', 'terimakasih']","['alam', 'alam ruang', 'ruang', 'ruang guru', 'guru', 'guru balas', 'balas', 'balas roboguru', 'roboguru', 'roboguru notifikasi', 'notifikasi', 'notifikasi ruangguru', 'ruangguru', 'ruangguru butuh', 'butuh', 'butuh terimakasih', 'terimakasih']"
"['apaansih', 'ruangguru', 'lot', 'bgd', 'pdhl', 'koneksi', 'bagus', 'ipad', 'lancar', 'gilir', 'hp', 'ngga', 'kayak', 'emg', 'ad', 'server', 'android', 'perbaikin']","['apaansih', 'apaansih ruangguru', 'ruangguru', 'ruangguru lot', 'lot', 'lot bgd', 'bgd', 'bgd pdhl', 'pdhl', 'pdhl koneksi', 'koneksi', 'koneksi bagus', 'bagus', 'bagus ipad', 'ipad', 'ipad lancar', 'lancar', 'lancar gilir', 'gilir', 'gilir hp', 'hp', 'hp ngga', 'ngga', 'ngga kayak', 'kayak', 'kayak emg', 'emg', 'emg ad', 'ad', 'ad server', 'server', 'server android', 'android', 'android perbaikin', 'perbaikin']"
"['aplikasi', 'bagus', 'banget']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus banget', 'banget']"
"['banget', 'langgan', 'akses', 'dafa', 'lulu', 'pas', 'panjang', 'malas', 'akses', 'males', 'ngelanjutin', 'ku', 'kasih', 'bintang', '3', 'bagus']","['banget', 'banget langgan', 'langgan', 'langgan akses', 'akses', 'akses dafa', 'dafa', 'dafa lulu', 'lulu', 'lulu pas', 'pas', 'pas panjang', 'panjang', 'panjang malas', 'malas', 'malas akses', 'akses', 'akses males', 'males', 'males ngelanjutin', 'ngelanjutin', 'ngelanjutin ku', 'ku', 'ku kasih', 'kasih', 'kasih bintang', 'bintang', 'bintang 3', '3', '3 bagus', 'bagus']"
"['aplikasi', 'bagus', 'sihh', 'jangka', 'pendek', 'jangka', 'sip']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus sihh', 'sihh', 'sihh jangka', 'jangka', 'jangka pendek', 'pendek', 'pendek jangka', 'jangka', 'jangka sip', 'sip']"
['bagus'],['bagus']
['terimakasih'],['terimakasih']
"['aplikasi', 'bantu']","['aplikasi', 'aplikasi bantu', 'bantu']"
"['tolong', 'baik', 'video', 'ruangguru', 'gagal', 'muat', 'susah', 'akses', 'kuota', 'kenceng']","['tolong', 'tolong baik', 'baik', 'baik video', 'video', 'video ruangguru', 'ruangguru', 'ruangguru gagal', 'gagal', 'gagal muat', 'muat', 'muat susah', 'susah', 'susah akses', 'akses', 'akses kuota', 'kuota', 'kuota kenceng', 'kenceng']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
['bagus'],['bagus']
"['bagus', 'apk', 'pas', 'uas', 'ulang', 'ajar', 'mudah', 'nambahin', 'ajar', 'pjok', 'agama', 'apk', 'inijadi', 'bocor', 'ajar', 'sma']","['bagus', 'bagus apk', 'apk', 'apk pas', 'pas', 'pas uas', 'uas', 'uas ulang', 'ulang', 'ulang ajar', 'ajar', 'ajar mudah', 'mudah', 'mudah nambahin', 'nambahin', 'nambahin ajar', 'ajar', 'ajar pjok', 'pjok', 'pjok agama', 'agama', 'agama apk', 'apk', 'apk inijadi', 'inijadi', 'inijadi bocor', 'bocor', 'bocor ajar', 'ajar', 'ajar sma', 'sma']"
['hebat'],['hebat']
"['ken', 'banget', 'reporterjurnalis', 'tvberita', 'ajar', 'nggak']","['ken', 'ken banget', 'banget', 'banget reporterjurnalis', 'reporterjurnalis', 'reporterjurnalis tvberita', 'tvberita', 'tvberita ajar', 'ajar', 'ajar nggak', 'nggak']"
"['ruangguru', 'tarik', 'mudah', 'paham']","['ruangguru', 'ruangguru tarik', 'tarik', 'tarik mudah', 'mudah', 'mudah paham', 'paham']"
['keren'],['keren']
"['not', 'bad']","['not', 'not bad', 'bad']"
"['neng', 'ajar', 'semangit']","['neng', 'neng ajar', 'ajar', 'ajar semangit', 'semangit']"
"['bagus', 'langgan', 'bingung']","['bagus', 'bagus langgan', 'langgan', 'langgan bingung', 'bingung']"
"['aplikasi', 'ruang', 'guru', 'bagus', 'jelas', 'detail', 'ngerti', 'ajar', 'kasih', 'kuis', 'ngerti', 'pokok', 'untung', 'langgan', 'ruang', 'guru']","['aplikasi', 'aplikasi ruang', 'ruang', 'ruang guru', 'guru', 'guru bagus', 'bagus', 'bagus jelas', 'jelas', 'jelas detail', 'detail', 'detail ngerti', 'ngerti', 'ngerti ajar', 'ajar', 'ajar kasih', 'kasih', 'kasih kuis', 'kuis', 'kuis ngerti', 'ngerti', 'ngerti pokok', 'pokok', 'pokok untung', 'untung', 'untung langgan', 'langgan', 'langgan ruang', 'ruang', 'ruang guru', 'guru']"
"['bantu', 'selesai', 'materi', 'sulit', 'paham', 'ajar']","['bantu', 'bantu selesai', 'selesai', 'selesai materi', 'materi', 'materi sulit', 'sulit', 'sulit paham', 'paham', 'paham ajar', 'ajar']"
[],[]
['dabestt'],['dabestt']
"['bnr', 'bnr', 'bantu', 'sm', 'ruang', 'gurupas', 'sd', 'asal', 'ranking', 'ranking']","['bnr', 'bnr bnr', 'bnr', 'bnr bantu', 'bantu', 'bantu sm', 'sm', 'sm ruang', 'ruang', 'ruang gurupas', 'gurupas', 'gurupas sd', 'sd', 'sd asal', 'asal', 'asal ranking', 'ranking', 'ranking ranking', 'ranking']"
['bags'],['bags']
"['gua', 'nyon', 'foto', 'gua', 'mas', 'kelas', '1', 'iy', 'gua', 'tekan', 'gua', 'gua', 'hapus', 'sayang', 'gua', 'pake']","['gua', 'gua nyon', 'nyon', 'nyon foto', 'foto', 'foto gua', 'gua', 'gua mas', 'mas', 'mas kelas', 'kelas', 'kelas 1', '1', '1 iy', 'iy', 'iy gua', 'gua', 'gua tekan', 'tekan', 'tekan gua', 'gua', 'gua gua', 'gua', 'gua hapus', 'hapus', 'hapus sayang', 'sayang', 'sayang gua', 'gua', 'gua pake', 'pake']"
"['gampang', 'lag', 'parah', 'banget', 'sinyal', 'full', 'aplikasi', 'gaada', 'banget', 'eror', 'sayang', 'banget', 'langgan']","['gampang', 'gampang lag', 'lag', 'lag parah', 'parah', 'parah banget', 'banget', 'banget sinyal', 'sinyal', 'sinyal full', 'full', 'full aplikasi', 'aplikasi', 'aplikasi gaada', 'gaada', 'gaada banget', 'banget', 'banget eror', 'eror', 'eror sayang', 'sayang', 'sayang banget', 'banget', 'banget langgan', 'langgan']"
"['bagus', 'gaji', 'tua', 'nggak', 'ku', 'mahal']","['bagus', 'bagus gaji', 'gaji', 'gaji tua', 'tua', 'tua nggak', 'nggak', 'nggak ku', 'ku', 'ku mahal', 'mahal']"
"['bagus', 'banget', 'bantu', 'seklai', 'terimakasih']","['bagus', 'bagus banget', 'banget', 'banget bantu', 'bantu', 'bantu seklai', 'seklai', 'seklai terimakasih', 'terimakasih']"
"['serumenyenangkan', 'ajar', 'video']","['serumenyenangkan', 'serumenyenangkan ajar', 'ajar', 'ajar video', 'video']"
"['nama', 'rafli', 'malije', 'sekolah', 'sdn', '2', 'bukit', 'durian', 'ajar', 'gratis', 'tua', 'bayar', 'ajar', 'diruangguru']","['nama', 'nama rafli', 'rafli', 'rafli malije', 'malije', 'malije sekolah', 'sekolah', 'sekolah sdn', 'sdn', 'sdn 2', '2', '2 bukit', 'bukit', 'bukit durian', 'durian', 'durian ajar', 'ajar', 'ajar gratis', 'gratis', 'gratis tua', 'tua', 'tua bayar', 'bayar', 'bayar ajar', 'ajar', 'ajar diruangguru', 'diruangguru']"
"['aplikasi', 'baguss', 'jelas', 'materi', 'sangatt', 'detail', 'sukaa']","['aplikasi', 'aplikasi baguss', 'baguss', 'baguss jelas', 'jelas', 'jelas materi', 'materi', 'materi sangatt', 'sangatt', 'sangatt detail', 'detail', 'detail sukaa', 'sukaa']"
"['bayar', 'ngelek', 'ngelek', 'hapus', 'ruang', 'guru', 'rugi', 'banget']","['bayar', 'bayar ngelek', 'ngelek', 'ngelek ngelek', 'ngelek', 'ngelek hapus', 'hapus', 'hapus ruang', 'ruang', 'ruang guru', 'guru', 'guru rugi', 'rugi', 'rugi banget', 'banget']"
"['aplikasi', 'emang', 'bagus', 'itutp', 'terkadang', 'kendalasaya', 'udh', 'henti', 'pake', 'ruanggurulebih', 'tingkat', 'app', 'terima', 'kasih']","['aplikasi', 'aplikasi emang', 'emang', 'emang bagus', 'bagus', 'bagus itutp', 'itutp', 'itutp terkadang', 'terkadang', 'terkadang kendalasaya', 'kendalasaya', 'kendalasaya udh', 'udh', 'udh henti', 'henti', 'henti pake', 'pake', 'pake ruanggurulebih', 'ruanggurulebih', 'ruanggurulebih tingkat', 'tingkat', 'tingkat app', 'app', 'app terima', 'terima', 'terima kasih', 'kasih']"
"['jelas', 'mudah', 'erti', 'pokok', 'best', 'ruang', 'guru']","['jelas', 'jelas mudah', 'mudah', 'mudah erti', 'erti', 'erti pokok', 'pokok', 'pokok best', 'best', 'best ruang', 'ruang', 'ruang guru', 'guru']"
"['sgt', 'bantu', 'ajar', 'ygy']","['sgt', 'sgt bantu', 'bantu', 'bantu ajar', 'ajar', 'ajar ygy', 'ygy']"
[],[]
['bagus'],['bagus']
"['ubah', 'akun', 'email', 'pencet']","['ubah', 'ubah akun', 'akun', 'akun email', 'email', 'email pencet', 'pencet']"
"['ajar', 'ruang', 'guru', 'seru', 'sambil', 'kasih', 'materi', 'kasih', 'kuis']","['ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru', 'guru seru', 'seru', 'seru sambil', 'sambil', 'sambil kasih', 'kasih', 'kasih materi', 'materi', 'materi kasih', 'kasih', 'kasih kuis', 'kuis']"
"['keren', 'banget', 'aplikasi', 'ajar', 'cepet', 'ngerti', 'pokok', 'nyari', 'aplikasi', 'belajarmending', 'pake', 'ruangguru', 'iy', 'knp', 'screenshot', 'simpan', 'apk', 'kadang', 'gagal', 'simpan', 'kadang', 'suka', 'muat', 'ulang']","['keren', 'keren banget', 'banget', 'banget aplikasi', 'aplikasi', 'aplikasi ajar', 'ajar', 'ajar cepet', 'cepet', 'cepet ngerti', 'ngerti', 'ngerti pokok', 'pokok', 'pokok nyari', 'nyari', 'nyari aplikasi', 'aplikasi', 'aplikasi belajarmending', 'belajarmending', 'belajarmending pake', 'pake', 'pake ruangguru', 'ruangguru', 'ruangguru iy', 'iy', 'iy knp', 'knp', 'knp screenshot', 'screenshot', 'screenshot simpan', 'simpan', 'simpan apk', 'apk', 'apk kadang', 'kadang', 'kadang gagal', 'gagal', 'gagal simpan', 'simpan', 'simpan kadang', 'kadang', 'kadang suka', 'suka', 'suka muat', 'muat', 'muat ulang', 'ulang']"
"['suka', 'insyaallah', 'paham', 'materi']","['suka', 'suka insyaallah', 'insyaallah', 'insyaallah paham', 'paham', 'paham materi', 'materi']"
"['bagus', 'aplikasi', 'ruang', 'guru', 'bantu', 'kurang', 'tugas', 'tugas', 'susahmakasih', 'ruang', 'guru', 'dihatisemoga', 'lancar', 'guna', 'annisa', 'zhaafira', 'syahbana', 'thanks']","['bagus', 'bagus aplikasi', 'aplikasi', 'aplikasi ruang', 'ruang', 'ruang guru', 'guru', 'guru bantu', 'bantu', 'bantu kurang', 'kurang', 'kurang tugas', 'tugas', 'tugas tugas', 'tugas', 'tugas susahmakasih', 'susahmakasih', 'susahmakasih ruang', 'ruang', 'ruang guru', 'guru', 'guru dihatisemoga', 'dihatisemoga', 'dihatisemoga lancar', 'lancar', 'lancar guna', 'guna', 'guna annisa', 'annisa', 'annisa zhaafira', 'zhaafira', 'zhaafira syahbana', 'syahbana', 'syahbana thanks', 'thanks']"
"['materi', 'pas', 'ajar', 'seko']","['materi', 'materi pas', 'pas', 'pas ajar', 'ajar', 'ajar seko', 'seko']"
"['overall', 'bagus', 'smooth', 'aplikasi', 'stabil', 'fleksibel', 'rada', 'kaku', 'kadang', 'pas', 'mutar', 'fidio', 'tidur', 'otomatis', 'mode', 'lanskap', 'kadang', 'suka', 'log', 'out']","['overall', 'overall bagus', 'bagus', 'bagus smooth', 'smooth', 'smooth aplikasi', 'aplikasi', 'aplikasi stabil', 'stabil', 'stabil fleksibel', 'fleksibel', 'fleksibel rada', 'rada', 'rada kaku', 'kaku', 'kaku kadang', 'kadang', 'kadang pas', 'pas', 'pas mutar', 'mutar', 'mutar fidio', 'fidio', 'fidio tidur', 'tidur', 'tidur otomatis', 'otomatis', 'otomatis mode', 'mode', 'mode lanskap', 'lanskap', 'lanskap kadang', 'kadang', 'kadang suka', 'suka', 'suka log', 'log', 'log out', 'out']"
"['jasa', 'sulit', 'paham']","['jasa', 'jasa sulit', 'sulit', 'sulit paham', 'paham']"
"['keren', 'berak', 'ajar', 'ruang', 'guru']","['keren', 'keren berak', 'berak', 'berak ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guru', 'guru']"
[],[]
"['suka', 'bantu']","['suka', 'suka bantu', 'bantu']"
"['aplikasi', 'bagus', 'banget', 'pintar']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus banget', 'banget', 'banget pintar', 'pintar']"
"['video', 'lengkap', 'mudah', 'erti']","['video', 'video lengkap', 'lengkap', 'lengkap mudah', 'mudah', 'mudah erti', 'erti']"
"['karna', 'guna', 'bagus']","['karna', 'karna guna', 'guna', 'guna bagus', 'bagus']"
"['terima', 'kasih', 'ruang', 'guru', 'berkat', 'ruang', 'guru', 'rajin', 'ajar']","['terima', 'terima kasih', 'kasih', 'kasih ruang', 'ruang', 'ruang guru', 'guru', 'guru berkat', 'berkat', 'berkat ruang', 'ruang', 'ruang guru', 'guru', 'guru rajin', 'rajin', 'rajin ajar', 'ajar']"
"['soalkalau', 'nextsering', 'home', 'nyaangeselin']","['soalkalau', 'soalkalau nextsering', 'nextsering', 'nextsering home', 'home', 'home nyaangeselin', 'nyaangeselin']"
"['guna', 'banget', 'nggak', 'bisen', 'ajar', 'pokok', 'seru']","['guna', 'guna banget', 'banget', 'banget nggak', 'nggak', 'nggak bisen', 'bisen', 'bisen ajar', 'ajar', 'ajar pokok', 'pokok', 'pokok seru', 'seru']"
"['vidionya', 'dikit', 'loading', 'tolong', 'baik', 'bljr', 'ganggu']","['vidionya', 'vidionya dikit', 'dikit', 'dikit loading', 'loading', 'loading tolong', 'tolong', 'tolong baik', 'baik', 'baik bljr', 'bljr', 'bljr ganggu', 'ganggu']"
"['mudah', 'paham', 'fokus']","['mudah', 'mudah paham', 'paham', 'paham fokus', 'fokus']"
"['aplikasi', 'ajar', 'bagus', 'krna', 'soalpembahasan', 'lengkap', 'lahar', 'tambah', 'informatika', 'agama', 'lengkap']","['aplikasi', 'aplikasi ajar', 'ajar', 'ajar bagus', 'bagus', 'bagus krna', 'krna', 'krna soalpembahasan', 'soalpembahasan', 'soalpembahasan lengkap', 'lengkap', 'lengkap lahar', 'lahar', 'lahar tambah', 'tambah', 'tambah informatika', 'informatika', 'informatika agama', 'agama', 'agama lengkap', 'lengkap']"
"['bagus', 'bun', 'kuis', 'pencet', 'pencet', 'berisik', 'hdehh', 'balikin', 'trs', 'suka', 'beda', 'sm', 'jawab', 'jawab', 'bnr', 'salah', 'jwbn', 'bnrny', 'gjls']","['bagus', 'bagus bun', 'bun', 'bun kuis', 'kuis', 'kuis pencet', 'pencet', 'pencet pencet', 'pencet', 'pencet berisik', 'berisik', 'berisik hdehh', 'hdehh', 'hdehh balikin', 'balikin', 'balikin trs', 'trs', 'trs suka', 'suka', 'suka beda', 'beda', 'beda sm', 'sm', 'sm jawab', 'jawab', 'jawab jawab', 'jawab', 'jawab bnr', 'bnr', 'bnr salah', 'salah', 'salah jwbn', 'jwbn', 'jwbn bnrny', 'bnrny', 'bnrny gjls', 'gjls']"
"['instal', 'smoga', 'bgus', 'download', 'hhee']","['instal', 'instal smoga', 'smoga', 'smoga bgus', 'bgus', 'bgus download', 'download', 'download hhee', 'hhee']"
"['sukak', 'bngt', 'ajar', 'ruang', 'guruu']","['sukak', 'sukak bngt', 'bngt', 'bngt ajar', 'ajar', 'ajar ruang', 'ruang', 'ruang guruu', 'guruu']"
"['kuisbehe', 'ntitibatiba']","['kuisbehe', 'kuisbehe ntitibatiba', 'ntitibatiba']"
"['bismillah', 'sukses']","['bismillah', 'bismillah sukses', 'sukses']"
"['bagus', 'banget']","['bagus', 'bagus banget', 'banget']"
['bagus'],['bagus']
"['ruang', 'otoh', 'mu', 'otoh']","['ruang', 'ruang otoh', 'otoh', 'otoh mu', 'mu', 'mu otoh', 'otoh']"
"['aplikasi', 'bagus', 'baik', 'roboguru', 'ajar', 'kelas', '6']","['aplikasi', 'aplikasi bagus', 'bagus', 'bagus baik', 'baik', 'baik roboguru', 'roboguru', 'roboguru ajar', 'ajar', 'ajar kelas', 'kelas', 'kelas 6', '6']"
['keren'],['keren']
"['bantu', 'paham', 'materi', 'sekolah', 'latih', 'uji']","['bantu', 'bantu paham', 'paham', 'paham materi', 'materi', 'materi sekolah', 'sekolah', 'sekolah latih', 'latih', 'latih uji', 'uji']"
"['makasih', 'ruang', 'guru']","['makasih', 'makasih ruang', 'ruang', 'ruang guru', 'guru']"
['jahat'],['jahat']
['bagus'],['bagus']
"['sumpah', 'bagus']","['sumpah', 'sumpah bagus', 'bagus']"
"['baguscuma', 'chat', 'mulu', 'yasaya', 'risih', 'muncul', 'kakak', 'kakak', 'ngasih', 'diskon', 'gitukayak', 'dukung', 'ajar']","['baguscuma', 'baguscuma chat', 'chat', 'chat mulu', 'mulu', 'mulu yasaya', 'yasaya', 'yasaya risih', 'risih', 'risih muncul', 'muncul', 'muncul kakak', 'kakak', 'kakak kakak', 'kakak', 'kakak ngasih', 'ngasih', 'ngasih diskon', 'diskon', 'diskon gitukayak', 'gitukayak', 'gitukayak dukung', 'dukung', 'dukung ajar', 'ajar']"
"['bantu', 'ruang', 'guru', 'suka', 'cerita', 'dafa', 'lulu']","['bantu', 'bantu ruang', 'ruang', 'ruang guru', 'guru', 'guru suka', 'suka', 'suka cerita', 'cerita', 'cerita dafa', 'dafa', 'dafa lulu', 'lulu']"
"['ribet', 'asww']","['ribet', 'ribet asww', 'asww']"
['ruangguru'],['ruangguru']
[],[]
"['ruang', 'guru', 'pintar', 'kadaang', 'suka', 'lupa', 'materi']","['ruang', 'ruang guru', 'guru', 'guru pintar', 'pintar', 'pintar kadaang', 'kadaang', 'kadaang suka', 'suka', 'suka lupa', 'lupa', 'lupa materi', 'materi']"
['jempol'],['jempol']
"['bagus', 'logika', 'mermanfaat']","['bagus', 'bagus logika', 'logika', 'logika mermanfaat', 'mermanfaat']"
"['ngasih', 'try', 'out', 'susah', 'min', 'kelas', '7', 'kasih', 'kls', '89', 'mtk', 'stan', 'tau', 'bngke', 'emang']","['ngasih', 'ngasih try', 'try', 'try out', 'out', 'out susah', 'susah', 'susah min', 'min', 'min kelas', 'kelas', 'kelas 7', '7', '7 kasih', 'kasih', 'kasih kls', 'kls', 'kls 89', '89', '89 mtk', 'mtk', 'mtk stan', 'stan', 'stan tau', 'tau', 'tau bngke', 'bngke', 'bngke emang', 'emang']"
"['jelek', 'bagus', 'uda', 'langgan', 'anak', 'pake', 'lot', 'apknya', 'mending', 'les', 'offline']","['jelek', 'jelek bagus', 'bagus', 'bagus uda', 'uda', 'uda langgan', 'langgan', 'langgan anak', 'anak', 'anak pake', 'pake', 'pake lot', 'lot', 'lot apknya', 'apknya', 'apknya mending', 'mending', 'mending les', 'les', 'les offline', 'offline']"
"['ruangguru', 'bantu', 'labih']","['ruangguru', 'ruangguru bantu', 'bantu', 'bantu labih', 'labih']"
"['murahin', 'harga', 'langgananya']","['murahin', 'murahin harga', 'harga', 'harga langgananya', 'langgananya']"
"['muncul', 'pollingnya', 'internet', 'bagus', 'nyambung', 'apk', 'ken', 'sampah', 'materi', 'beda', 'nyesel', 'banget']","['muncul', 'muncul pollingnya', 'pollingnya', 'pollingnya internet', 'internet', 'internet bagus', 'bagus', 'bagus nyambung', 'nyambung', 'nyambung apk', 'apk', 'apk ken', 'ken', 'ken sampah', 'sampah', 'sampah materi', 'materi', 'materi beda', 'beda', 'beda nyesel', 'nyesel', 'nyesel banget', 'banget']"
['mnatap'],['mnatap']
[],[]
"['rencana', 'ditambahin', 'ajar', 'agama']","['rencana', 'rencana ditambahin', 'ditambahin', 'ditambahin ajar', 'ajar', 'ajar agama', 'agama']"
"['jelas', 'tele', 'tele', 'over', 'all']","['jelas', 'jelas tele', 'tele', 'tele tele', 'tele', 'tele over', 'over', 'over all', 'all']"
"['bagus', 'apk']","['bagus', 'bagus apk', 'apk']"
['banget'],['banget']
"['susah', 'anjg', 'kacau', 'gatau', 'gua', 'bego', 'emang']","['susah', 'susah anjg', 'anjg', 'anjg kacau', 'kacau', 'kacau gatau', 'gatau', 'gatau gua', 'gua', 'gua bego', 'bego', 'bego emang', 'emang']"
"['ruang', 'guru', 'keren', 'sistem', 'ajar', 'tarik', 'fun', 'terimakasih', 'ruang', 'guru']","['ruang', 'ruang guru', 'guru', 'guru keren', 'keren', 'keren sistem', 'sistem', 'sistem ajar', 'ajar', 'ajar tarik', 'tarik', 'tarik fun', 'fun', 'fun terimakasih', 'terimakasih', 'terimakasih ruang', 'ruang', 'ruang guru', 'guru']"
